index,gender,device,revenue,date,country
1,male,ios,186557,41536.70833,USA
2,male,ios,177217,41537.70833,USA
3,male,ios,177197,41538.70833,USA
4,male,ios,157193,41539.70833,USA
5,male,ios,165592,41540.70833,USA
6,male,ios,175530,41541.70833,USA
7,male,ios,189709,41542.70833,USA
8,male,ios,194881,41543.70833,USA
9,male,ios,165494,41544.70833,USA
10,male,ios,174796,41545.70833,USA
11,male,ios,171976,41546.70833,USA
12,male,ios,165338,41547.70833,USA
13,male,ios,178991,41548.70833,USA
14,male,ios,193797,41549.70833,USA
15,male,ios,196017,41550.70833,USA
16,male,ios,178289,41551.70833,USA
17,male,ios,163306,41552.70833,USA
18,male,ios,158592,41553.70833,USA
19,male,ios,175177,41554.70833,USA
20,male,ios,176251,41555.70833,USA
21,male,ios,190283,41556.70833,USA
22,male,ios,183563,41557.70833,USA
23,male,ios,180489,41558.70833,USA
24,male,ios,172252,41559.70833,USA
25,male,ios,163915,41560.70833,USA
26,male,ios,152244,41561.70833,USA
27,male,ios,168530,41562.70833,USA
28,male,ios,191363,41563.70833,USA
29,male,ios,184389,41564.70833,USA
30,male,ios,168115,41565.70833,USA
31,male,ios,162816,41566.70833,USA
32,male,ios,167801,41567.70833,USA
33,male,ios,157313,41568.70833,USA
34,male,ios,174513,41569.70833,USA
35,male,ios,179141,41570.70833,USA
36,male,ios,183644,41571.70833,USA
37,male,ios,183659,41572.70833,USA
38,male,ios,173785,41573.70833,USA
39,male,ios,152057,41574.70833,USA
40,male,ios,169001,41575.70833,USA
41,male,ios,177741,41576.70833,USA
42,male,ios,186708,41577.70833,USA
43,male,ios,176682,41578.70833,USA
44,male,ios,177899,41579.70833,USA
45,male,ios,162496,41580.70833,USA
46,male,ios,155162,41581.66667,USA
47,male,ios,163698,41582.66667,USA
48,male,ios,180865,41583.66667,USA
49,male,ios,209480,41584.66667,USA
50,male,ios,192055,41585.66667,USA
51,male,ios,176886,41586.66667,USA
52,male,ios,165934,41587.66667,USA
53,male,ios,152442,41588.66667,USA
54,male,ios,156909,41589.66667,USA
55,male,ios,178778,41590.66667,USA
56,male,ios,183226,41591.66667,USA
57,male,ios,181647,41592.66667,USA
58,male,ios,168830,41593.66667,USA
59,male,ios,153559,41594.66667,USA
60,male,ios,156208,41595.66667,USA
61,male,ios,153216,41596.66667,USA
62,male,ios,173164,41597.66667,USA
63,male,ios,182919,41598.66667,USA
64,male,ios,176880,41599.66667,USA
65,male,ios,180657,41600.66667,USA
66,male,ios,155413,41601.66667,USA
67,male,ios,142502,41602.66667,USA
68,male,ios,163658,41603.66667,USA
69,male,ios,167560,41604.66667,USA
70,male,ios,183395,41605.66667,USA
71,male,ios,166001,41606.66667,USA
72,male,ios,184216,41607.66667,USA
73,male,ios,169003,41608.66667,USA
74,male,ios,149090,41609.66667,USA
75,male,ios,169082,41610.66667,USA
76,male,ios,165074,41611.66667,USA
77,male,ios,184745,41612.66667,USA
78,male,ios,174948,41613.66667,USA
79,male,ios,164124,41614.66667,USA
80,male,ios,154198,41615.66667,USA
81,male,ios,158900,41616.66667,USA
82,male,ios,168169,41617.66667,USA
83,male,ios,166970,41618.66667,USA
84,male,ios,188813,41619.66667,USA
85,male,ios,172496,41620.66667,USA
86,male,ios,170524,41621.66667,USA
87,male,ios,163409,41622.66667,USA
88,male,ios,160836,41623.66667,USA
89,male,ios,161417,41624.66667,USA
90,male,ios,173093,41625.66667,USA
91,male,ios,185116,41626.66667,USA
92,male,ios,181761,41627.66667,USA
